CIVILSTAND;ALDER;TID;INDHOLD
Gift/separeret;I alt;2020K3;2132092
Gift/separeret;0 år;2020K3;0
Gift/separeret;1 år;2020K3;0
Gift/separeret;2 år;2020K3;0
Gift/separeret;3 år;2020K3;0
Gift/separeret;4 år;2020K3;0
Gift/separeret;5 år;2020K3;0
Gift/separeret;6 år;2020K3;0
Gift/separeret;7 år;2020K3;0
Gift/separeret;8 år;2020K3;0
Gift/separeret;9 år;2020K3;0
Gift/separeret;10 år;2020K3;0
Gift/separeret;11 år;2020K3;0
Gift/separeret;12 år;2020K3;0
Gift/separeret;13 år;2020K3;0
Gift/separeret;14 år;2020K3;0
Gift/separeret;15 år;2020K3;0
Gift/separeret;16 år;2020K3;0
Gift/separeret;17 år;2020K3;0
Gift/separeret;18 år;2020K3;11
Gift/separeret;19 år;2020K3;73
Gift/separeret;20 år;2020K3;250
Gift/separeret;21 år;2020K3;559
Gift/separeret;22 år;2020K3;1066
Gift/separeret;23 år;2020K3;1900
Gift/separeret;24 år;2020K3;3216
Gift/separeret;25 år;2020K3;5203
Gift/separeret;26 år;2020K3;7742
Gift/separeret;27 år;2020K3;10629
Gift/separeret;28 år;2020K3;14323
Gift/separeret;29 år;2020K3;17859
Gift/separeret;30 år;2020K3;21497
Gift/separeret;31 år;2020K3;24342
Gift/separeret;32 år;2020K3;26722
Gift/separeret;33 år;2020K3;28746
Gift/separeret;34 år;2020K3;30120
Gift/separeret;35 år;2020K3;30703
Gift/separeret;36 år;2020K3;31733
Gift/separeret;37 år;2020K3;32452
Gift/separeret;38 år;2020K3;34328
Gift/separeret;39 år;2020K3;35257
Gift/separeret;40 år;2020K3;37849
Gift/separeret;41 år;2020K3;39091
Gift/separeret;42 år;2020K3;40031
Gift/separeret;43 år;2020K3;39969
Gift/separeret;44 år;2020K3;43450
Gift/separeret;45 år;2020K3;44705
Gift/separeret;46 år;2020K3;43766
Gift/separeret;47 år;2020K3;44776
Gift/separeret;48 år;2020K3;46676
Gift/separeret;49 år;2020K3;44380
Gift/separeret;50 år;2020K3;43354
Gift/separeret;51 år;2020K3;43830
Gift/separeret;52 år;2020K3;46437
Gift/separeret;53 år;2020K3;50200
Gift/separeret;54 år;2020K3;50579
Gift/separeret;55 år;2020K3;49381
Gift/separeret;56 år;2020K3;48503
Gift/separeret;57 år;2020K3;46287
Gift/separeret;58 år;2020K3;45379
Gift/separeret;59 år;2020K3;44239
Gift/separeret;60 år;2020K3;43676
Gift/separeret;61 år;2020K3;42848
